 z Liczba opóźn. pociągów > 5 minut,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Razem:  z Liczba opóźn. pociągów > 5 minut
Stacja,Przewoźnik,styczeń,luty,marzec,kwiecień,maj,czerwiec,lipiec,sierpień,wrzesień,październik,listopad,grudzień,
Warszawa Wschodnia,Freightliner PL Spółka z o.o.,,,,,0,0,,,,,,,0
Warszawa Wschodnia,Koleje Mazowieckie - KM Spółka z o.o.,716,344,419,487,506,895,1294,886,877,1039,1053,663,9179
Warszawa Wschodnia,Łódzka Kolej Aglomeracyjna Sp. z o.o.,,,,,,2,2,3,6,3,8,19,43
Warszawa Wschodnia,PKP INTERCITY Spółka Akcyjna ,1195,606,741,638,690,946,1280,1375,1193,1021,1089,1194,11968
Warszawa Wschodnia,POLREGIO Spółka Akcyjna,,,,,,10,30,24,29,39,27,17,176
Warszawa Wschodnia,SKPL Cargo Sp. z o.o.  (przewozy pasażerskie),6,3,3,4,4,10,9,12,6,4,9,5,75
Warszawa Wschodnia,Szybka Kolej Miejska Sp. z o.o.,218,107,130,90,139,312,428,222,184,217,212,217,2476
Warszawa Wschodnia ,,2135,1060,1293,1219,1339,2175,3043,2522,2295,2323,2398,2115,23917
Warszawa Zachodnia,Freightliner PL Spółka z o.o.,,,,,0,,,,,,,,0
Warszawa Zachodnia,Koleje Mazowieckie - KM Spółka z o.o.,684,340,416,477,504,798,1227,766,881,920,921,586,8520
Warszawa Zachodnia,Łódzka Kolej Aglomeracyjna Sp. z o.o.,15,6,10,8,8,8,6,7,15,18,22,24,147
Warszawa Zachodnia,PKP INTERCITY Spółka Akcyjna ,1058,547,718,650,721,939,1294,1415,1425,1171,1262,1278,12478
Warszawa Zachodnia,POLREGIO Spółka Akcyjna,39,20,19,11,26,15,27,18,40,53,51,42,361
Warszawa Zachodnia,Szybka Kolej Miejska Sp. z o.o.,145,71,68,60,112,340,521,274,232,266,241,260,2590
Warszawa Zachodnia ,,1941,984,1231,1206,1371,2100,3075,2480,2593,2428,2497,2190,24096
Wrocław Główny,CARGO Master Spółka z o.o.,,,0,0,1,,,,,,,,1
Wrocław Główny,CARGO TRAIN Sp. z o.o.,,,,,,,0,,,,,,0
Wrocław Główny,Koleje Dolnośląskie S.A.,1200,495,516,492,618,498,903,703,1037,885,1403,1142,9892
Wrocław Główny,LEO Express Global a.s.,,,0,,,,,,,,,,0
Wrocław Główny,PKP INTERCITY Spółka Akcyjna ,685,373,393,352,472,540,666,622,676,619,744,782,6924
Wrocław Główny,POLREGIO Spółka Akcyjna,401,219,261,254,275,246,334,254,414,367,452,374,3851
Wrocław Główny ,,2286,1087,1170,1098,1366,1284,1903,1579,2127,1871,2599,2298,20668
Poznań Główny,CARGO Master Spółka z o.o.,,,,,2,,,,,,,,2
Poznań Główny,Koleje Wielkopolskie Sp. z o.o.,359,216,268,229,242,503,389,326,365,398,404,418,4117
Poznań Główny,Łódzka Kolej Aglomeracyjna Sp. z o.o.,0,1,1,4,0,0,2,2,1,0,0,4,15
Poznań Główny,Parowozownia Wolsztyn,,,,,0,,,0,,,0,0,0
Poznań Główny,PKP INTERCITY Spółka Akcyjna ,633,446,470,474,442,743,737,741,687,661,697,810,7541
Poznań Główny,POLREGIO Spółka Akcyjna,322,186,224,206,216,331,286,308,333,326,361,303,3402
Poznań Główny,RAILPOLONIA Sp. z o.o. (przewozy pasażerskie),,,,,,,,,,,,3,3
Poznań Główny ,,1314,849,963,913,902,1577,1414,1377,1386,1385,1462,1538,15080
Gdańsk Wrzeszcz,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,29,32,1,,,,69
Gdańsk Wrzeszcz,PKP INTERCITY Spółka Akcyjna ,691,370,291,298,397,706,1120,1193,614,523,533,629,7365
Gdańsk Wrzeszcz,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,202,46,58,76,41,51,122,85,146,138,99,114,1178
Gdańsk Wrzeszcz,POLREGIO Spółka Akcyjna,333,183,202,178,223,338,499,591,339,304,308,368,3866
Gdańsk Wrzeszcz ,,1226,599,551,552,661,1102,1770,1901,1100,965,940,1111,12478
Gdynia Główna,CARGO Master Spółka z o.o.,,,,0,,,,,,,,,0
Gdynia Główna,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,5,25,28,1,,,,59
Gdynia Główna,PKP INTERCITY Spółka Akcyjna ,624,285,237,229,341,642,1023,1060,529,457,478,547,6452
Gdynia Główna,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,243,58,71,99,63,101,186,153,130,225,180,165,1674
Gdynia Główna,POLREGIO Spółka Akcyjna,366,161,194,184,342,605,733,810,539,351,378,456,5119
Gdynia Główna ,,1233,504,502,512,746,1353,1967,2051,1199,1033,1036,1168,13304
Kraków Główny,Koleje Małopolskie Sp. z o.o.,423,131,174,163,159,174,219,256,199,191,185,146,2420
Kraków Główny,Koleje Śląskie Spółka z o.o.,31,16,9,8,11,16,20,21,14,29,37,29,241
Kraków Główny,LEO Express Global a.s.,1,1,3,4,1,2,3,3,2,1,2,7,30
Kraków Główny,PKP INTERCITY Spółka Akcyjna ,1025,506,499,441,527,594,813,1056,749,688,790,789,8477
Kraków Główny,POLREGIO Spółka Akcyjna,605,318,262,231,259,265,291,360,259,356,434,371,4011
Kraków Główny,RegioJet a.s.,27,17,34,29,32,33,32,25,35,38,48,35,385
Kraków Główny,Leo Express s.r.o.,,,,,,,,,,,,4,4
Kraków Główny ,,2112,989,981,876,989,1084,1378,1721,1258,1303,1496,1381,15568
Katowice,Koleje Śląskie Spółka z o.o.,865,457,474,503,566,675,645,509,675,687,874,739,7669
Katowice,PKP INTERCITY Spółka Akcyjna ,806,505,465,419,523,671,666,615,576,546,672,723,7187
Katowice,POLREGIO Spółka Akcyjna,181,82,51,67,84,87,72,72,61,94,117,124,1092
Katowice ,,1852,1044,990,989,1173,1433,1383,1196,1312,1327,1663,1586,15948
Sopot,CARGO Master Spółka z o.o.,,,,0,,,,,,,,,0
Sopot,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,28,30,1,,,,66
Sopot,PKP INTERCITY Spółka Akcyjna ,691,358,281,280,382,710,1101,1189,598,499,526,622,7237
Sopot,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,228,46,64,88,52,70,141,115,127,137,116,133,1317
Sopot,POLREGIO Spółka Akcyjna,265,132,143,130,170,269,386,476,260,236,243,273,2983
Sopot ,,1184,536,488,498,604,1056,1656,1810,986,872,885,1028,11603
Gdańsk Główny,CARGO Master Spółka z o.o.,,5,,0,,,,,,,,,5
Gdańsk Główny,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,29,32,1,,,,69
Gdańsk Główny,PKP INTERCITY Spółka Akcyjna ,719,383,296,304,401,728,1137,1187,630,539,550,661,7535
Gdańsk Główny,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,181,49,58,74,42,51,114,78,136,126,98,107,1114
Gdańsk Główny,POLREGIO Spółka Akcyjna,280,150,153,141,173,278,367,465,249,248,237,257,2998
Gdańsk Główny ,,1180,587,507,519,616,1064,1647,1762,1016,913,885,1025,11721
Łódź Widzew,Koleje Wielkopolskie Sp. z o.o.,0,0,0,,,,,,,,,,0
Łódź Widzew,Łódzka Kolej Aglomeracyjna Sp. z o.o.,126,76,100,114,119,107,181,165,155,157,190,138,1628
Łódź Widzew,PKP INTERCITY Spółka Akcyjna ,286,167,178,132,168,221,303,365,278,225,309,290,2922
Łódź Widzew,POLREGIO Spółka Akcyjna,100,54,62,32,52,57,121,92,71,73,102,80,896
Łódź Widzew ,,512,297,340,278,339,385,605,622,504,455,601,508,5446
Warszawa Śródmieście,Koleje Mazowieckie - KM Spółka z o.o.,257,144,147,198,244,620,965,637,720,789,814,519,6054
Warszawa Śródmieście,PKP INTERCITY Spółka Akcyjna ,,,,,,,,,,,2,2,4
Warszawa Śródmieście,POLREGIO Spółka Akcyjna,,,,,,,,,,,,1,1
Warszawa Śródmieście,Szybka Kolej Miejska Sp. z o.o.,80,38,49,43,84,229,330,152,129,169,143,160,1606
Warszawa Śródmieście ,,337,182,196,241,328,849,1295,789,849,958,959,682,7665
Warszawa Ochota,Koleje Mazowieckie - KM Spółka z o.o.,270,141,147,197,243,630,972,634,733,785,814,511,6077
Warszawa Ochota,Szybka Kolej Miejska Sp. z o.o.,90,42,50,44,84,226,334,156,130,167,144,164,1631
Warszawa Ochota ,,360,183,197,241,327,856,1306,790,863,952,958,675,7708
Warszawa Powiśle,Koleje Mazowieckie - KM Spółka z o.o.,248,141,145,189,231,601,953,620,696,781,837,514,5956
Warszawa Powiśle,Szybka Kolej Miejska Sp. z o.o.,73,34,43,42,77,225,313,142,125,169,143,155,1541
Warszawa Powiśle ,,321,175,188,231,308,826,1266,762,821,950,980,669,7497
Warszawa Stadion,Koleje Mazowieckie - KM Spółka z o.o.,245,149,147,207,241,605,955,628,735,821,866,542,6141
Warszawa Stadion,PKP INTERCITY Spółka Akcyjna ,,,,,2,,,,,,,,2
Warszawa Stadion,Szybka Kolej Miejska Sp. z o.o.,73,29,48,44,78,225,315,146,129,174,158,165,1584
Warszawa Stadion ,,318,178,195,251,321,830,1270,774,864,995,1024,707,7727
Warszawa Centralna,Freightliner PL Spółka z o.o.,,,,,0,,,,,,,,0
Warszawa Centralna,Koleje Mazowieckie - KM Spółka z o.o.,356,151,223,229,196,205,234,172,164,159,140,88,2317
Warszawa Centralna,Łódzka Kolej Aglomeracyjna Sp. z o.o.,,,,,,9,6,8,18,16,19,23,99
Warszawa Centralna,PKP INTERCITY Spółka Akcyjna ,1101,597,780,663,735,931,1305,1423,1371,1163,1237,1354,12660
Warszawa Centralna,POLREGIO Spółka Akcyjna,,,,,,9,33,21,46,49,52,39,249
Warszawa Centralna,Szybka Kolej Miejska Sp. z o.o.,5,,0,0,0,53,109,58,67,52,67,43,454
Warszawa Centralna ,,1462,748,1003,892,931,1207,1687,1682,1666,1439,1515,1547,15779
Warszawa Służewiec,Koleje Mazowieckie - KM Spółka z o.o.,430,219,244,232,301,287,401,309,308,277,237,211,3456
Warszawa Służewiec,PKP INTERCITY Spółka Akcyjna ,122,54,56,57,65,70,128,144,105,85,93,84,1063
Warszawa Służewiec,Szybka Kolej Miejska Sp. z o.o.,244,141,95,97,130,261,347,219,187,169,142,183,2215
Warszawa Służewiec ,,796,414,395,386,496,618,876,672,600,531,472,478,6734
Gdynia Chylonia,PKP INTERCITY Spółka Akcyjna ,,,,,,,,,,,0,,0
Gdynia Chylonia,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,257,64,75,98,75,126,228,184,100,160,116,164,1647
Gdynia Chylonia,POLREGIO Spółka Akcyjna,256,103,115,129,283,480,587,643,400,233,247,316,3792
Gdynia Chylonia ,,513,167,190,227,358,606,815,827,500,393,363,480,5439
Warszawa Rakowiec,Koleje Mazowieckie - KM Spółka z o.o.,399,215,236,229,291,277,399,309,317,284,229,221,3406
Warszawa Rakowiec,Szybka Kolej Miejska Sp. z o.o.,258,150,105,104,141,287,361,225,201,189,148,203,2372
Warszawa Rakowiec ,,657,365,341,333,432,564,760,534,518,473,377,424,5778
Warszawa Żwirki i Wigury,Koleje Mazowieckie - KM Spółka z o.o.,390,208,228,224,281,271,387,299,297,265,226,209,3285
Warszawa Żwirki i Wigury,Szybka Kolej Miejska Sp. z o.o.,251,145,103,101,140,277,359,223,200,186,146,199,2330
Warszawa Żwirki i Wigury ,,641,353,331,325,421,548,746,522,497,451,372,408,5615
Warszawa Aleje Jerozolimskie,Koleje Mazowieckie - KM Spółka z o.o.,382,207,231,227,277,259,368,291,302,261,222,210,3237
Warszawa Aleje Jerozolimskie,Szybka Kolej Miejska Sp. z o.o.,219,128,89,92,126,267,357,221,214,199,148,209,2269
Warszawa Aleje Jerozolimskie ,,601,335,320,319,403,526,725,512,516,460,370,419,5506
Warszawa Włochy,Koleje Mazowieckie - KM Spółka z o.o.,433,205,264,304,326,411,622,359,427,480,450,297,4578
Warszawa Włochy,Szybka Kolej Miejska Sp. z o.o.,73,42,39,26,56,89,158,63,49,76,84,68,823
Warszawa Włochy ,,506,247,303,330,382,500,780,422,476,556,534,365,5401
Rzeszów Główny,PKP INTERCITY Spółka Akcyjna ,293,165,185,148,166,181,264,241,216,239,232,275,2605
Rzeszów Główny,POLREGIO Spółka Akcyjna,362,163,271,212,212,170,300,198,196,275,252,208,2819
Rzeszów Główny,RegioJet a.s.,29,22,31,30,31,37,44,36,39,44,37,32,412
Rzeszów Główny ,,684,350,487,390,409,388,608,475,451,558,521,515,5836
Warszawa Gdańska,Koleje Mazowieckie - KM Spółka z o.o.,462,220,236,246,299,359,370,290,237,253,239,207,3418
Warszawa Gdańska,Łódzka Kolej Aglomeracyjna Sp. z o.o.,,,,,,5,3,4,0,,,0,12
Warszawa Gdańska,PKP INTERCITY Spółka Akcyjna ,398,199,205,166,207,273,269,306,3,4,7,1,2038
Warszawa Gdańska,POLREGIO Spółka Akcyjna,,,,,,11,11,9,,,,,31
Warszawa Gdańska,Szybka Kolej Miejska Sp. z o.o.,180,102,87,107,104,84,69,43,50,39,46,55,966
Warszawa Gdańska ,,1040,521,528,519,610,732,722,652,290,296,292,263,6465
Legionowo,Koleje Mazowieckie - KM Spółka z o.o.,332,139,122,113,152,206,240,205,170,171,144,169,2163
Legionowo,PKP INTERCITY Spółka Akcyjna ,301,154,140,123,178,224,313,331,210,178,175,244,2571
Legionowo,Szybka Kolej Miejska Sp. z o.o.,159,85,62,70,84,114,138,84,81,92,83,109,1161
Legionowo ,,792,378,324,306,414,544,691,620,461,441,402,522,5895
Gliwice,Koleje Śląskie Spółka z o.o.,177,119,92,91,136,161,151,161,208,218,251,287,2052
Gliwice,PKP INTERCITY Spółka Akcyjna ,540,293,356,317,348,473,564,526,484,517,527,556,5501
Gliwice,POLREGIO Spółka Akcyjna,129,50,62,53,66,83,105,102,116,141,147,95,1149
Gliwice ,,846,462,510,461,550,717,820,789,808,876,925,938,8702
Kraków Zabłocie,Koleje Małopolskie Sp. z o.o.,282,87,148,136,127,108,145,148,127,107,82,103,1600
Kraków Zabłocie,Koleje Śląskie Spółka z o.o.,,,,,,,,,,,,18,18
Kraków Zabłocie,POLREGIO Spółka Akcyjna,392,214,170,169,195,149,178,214,152,203,196,194,2426
Kraków Zabłocie ,,674,301,318,305,322,257,323,362,279,310,278,315,4044
Kraków Grzegórzki,Koleje Małopolskie Sp. z o.o.,283,87,146,135,123,110,146,149,128,106,78,99,1590
Kraków Grzegórzki,Koleje Śląskie Spółka z o.o.,,,,,,,,,,,,18,18
Kraków Grzegórzki,POLREGIO Spółka Akcyjna,389,213,168,168,196,151,179,211,141,203,195,189,2403
Kraków Grzegórzki ,,672,300,314,303,319,261,325,360,269,309,273,306,4011
Tczew,CARGO Master Spółka z o.o.,,0,,1,,,,,,,,,1
Tczew,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,29,31,1,,,,68
Tczew,PKP INTERCITY Spółka Akcyjna ,667,356,281,286,399,660,1001,1060,577,507,537,629,6960
Tczew,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,,,,,0,,,,,,,,0
Tczew,POLREGIO Spółka Akcyjna,346,165,175,191,219,346,490,600,298,299,293,334,3756
Tczew ,,1013,521,456,478,618,1013,1520,1691,876,806,830,963,10785
Rumia,PKP INTERCITY Spółka Akcyjna ,197,96,64,49,95,202,397,404,109,123,107,175,2018
Rumia,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,275,75,85,90,81,130,269,211,130,154,158,200,1858
Rumia,POLREGIO Spółka Akcyjna,143,66,55,73,237,451,547,607,343,165,186,236,3109
Rumia ,,615,237,204,212,413,783,1213,1222,582,442,451,611,6985
Gdynia Redłowo,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,255,57,66,94,60,89,173,140,131,163,154,156,1538
Gdynia Redłowo ,,255,57,66,94,60,89,173,140,131,163,154,156,1538
Gdynia Wzgórze Św.Maksymiliana,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,256,57,69,99,63,93,185,142,133,166,156,154,1573
Gdynia Wzgórze Św.Maksymiliana ,,256,57,69,99,63,93,185,142,133,166,156,154,1573
Gdynia Orłowo SKM,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,253,56,67,89,60,84,163,135,133,150,146,153,1489
Gdynia Orłowo SKM ,,253,56,67,89,60,84,163,135,133,150,146,153,1489
Sopot Kamienny Potok,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,234,51,63,87,56,71,147,127,126,144,126,137,1369
Sopot Kamienny Potok ,,234,51,63,87,56,71,147,127,126,144,126,137,1369
Gdańsk Zaspa,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,205,41,57,77,43,51,128,86,146,137,99,118,1188
Gdańsk Zaspa ,,205,41,57,77,43,51,128,86,146,137,99,118,1188
Gdańsk Przymorze-Uniwersytet,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,215,44,61,80,43,56,128,93,132,138,102,124,1216
Gdańsk Przymorze-Uniwersytet ,,215,44,61,80,43,56,128,93,132,138,102,124,1216
Sopot Wyścigi,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,228,46,62,84,53,65,136,111,128,132,113,130,1288
Sopot Wyścigi ,,228,46,62,84,53,65,136,111,128,132,113,130,1288
Gdańsk Żabianka-AWFiS,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,226,43,64,86,53,63,134,106,132,138,113,129,1287
Gdańsk Żabianka-AWFiS ,,226,43,64,86,53,63,134,106,132,138,113,129,1287
Gdańsk Oliwa SKM,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,219,44,62,80,47,59,132,99,127,138,110,124,1241
Gdańsk Oliwa SKM ,,219,44,62,80,47,59,132,99,127,138,110,124,1241
Gdańsk Politechnika,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,199,48,59,75,42,48,120,83,150,139,97,111,1171
Gdańsk Politechnika ,,199,48,59,75,42,48,120,83,150,139,97,111,1171
Gdańsk Oliwa,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,29,32,1,,,,69
Gdańsk Oliwa,PKP INTERCITY Spółka Akcyjna ,703,373,298,299,395,723,1135,1219,613,528,542,640,7468
Gdańsk Oliwa,POLREGIO Spółka Akcyjna,281,150,153,144,187,297,409,501,272,252,266,273,3185
Gdańsk Oliwa ,,984,523,451,443,582,1027,1573,1752,886,780,808,913,10722
Warszawa Młynów,Koleje Mazowieckie - KM Spółka z o.o.,392,188,205,212,274,285,334,260,254,255,215,209,3083
Warszawa Młynów,PKP INTERCITY Spółka Akcyjna ,106,43,46,60,66,23,27,22,,,,,393
Warszawa Młynów,Szybka Kolej Miejska Sp. z o.o.,185,113,87,97,100,73,72,43,53,46,48,61,978
Warszawa Młynów ,,683,344,338,369,440,381,433,325,307,301,263,270,4454
Warszawa Zachodnia peron 9,Koleje Mazowieckie - KM Spółka z o.o.,412,199,218,213,281,296,325,247,269,277,230,213,3180
Warszawa Zachodnia peron 9,PKP INTERCITY Spółka Akcyjna ,113,45,47,62,65,25,23,21,,,,,401
Warszawa Zachodnia peron 9,Szybka Kolej Miejska Sp. z o.o.,191,115,90,94,107,67,69,45,53,47,48,62,988
Warszawa Zachodnia peron 9 ,,716,359,355,369,453,388,417,313,322,324,278,275,4569
Bydgoszcz Główna,Arriva RP Sp. z o.o.,79,35,47,66,52,87,110,69,114,49,88,87,883
Bydgoszcz Główna,CARGO Master Spółka z o.o.,,,0,3,0,,,,,,,,3
Bydgoszcz Główna,PKP INTERCITY Spółka Akcyjna ,363,201,202,182,224,345,546,569,359,357,316,321,3985
Bydgoszcz Główna,POLREGIO Spółka Akcyjna,193,129,100,76,109,148,207,222,179,205,220,156,1944
Bydgoszcz Główna ,,635,365,349,327,385,580,863,860,652,611,624,564,6815
Skierniewice,CARGO Master Spółka z o.o.,,,,,1,,,,,,,,1
Skierniewice,Koleje Mazowieckie - KM Spółka z o.o.,113,43,64,49,93,69,95,75,48,73,77,61,860
Skierniewice,Łódzka Kolej Aglomeracyjna Sp. z o.o.,78,40,56,67,74,80,104,90,61,105,75,90,920
Skierniewice,PKP INTERCITY Spółka Akcyjna ,380,245,304,211,269,288,367,405,285,249,294,361,3658
Skierniewice,POLREGIO Spółka Akcyjna,39,15,30,21,33,29,50,33,30,40,50,45,415
Skierniewice ,,610,343,454,348,470,466,616,603,424,467,496,557,5854
Szczecin Główny,PKP INTERCITY Spółka Akcyjna ,276,150,164,134,205,262,267,271,229,193,197,262,2610
Szczecin Główny,POLREGIO Spółka Akcyjna,316,194,265,146,262,283,210,236,276,249,307,261,3005
Szczecin Główny ,,592,344,429,280,467,545,477,507,505,442,504,523,5615
Gdańsk Śródmieście,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,168,42,58,72,30,25,106,72,114,111,78,100,976
Gdańsk Śródmieście ,,168,42,58,72,30,25,106,72,114,111,78,100,976
Warszawa Powązki,Koleje Mazowieckie - KM Spółka z o.o.,382,181,199,218,260,294,322,254,239,245,209,206,3009
Warszawa Powązki,Szybka Kolej Miejska Sp. z o.o.,174,112,84,101,101,75,71,40,51,42,45,57,953
Warszawa Powązki ,,556,293,283,319,361,369,393,294,290,287,254,263,3962
Warszawa Koło,Koleje Mazowieckie - KM Spółka z o.o.,390,186,200,219,264,278,314,251,242,246,210,207,3007
Warszawa Koło,Szybka Kolej Miejska Sp. z o.o.,175,110,84,97,100,74,71,42,51,45,45,58,952
Warszawa Koło ,,565,296,284,316,364,352,385,293,293,291,255,265,3959
Warszawa Wola,Koleje Mazowieckie - KM Spółka z o.o.,394,191,206,212,276,287,344,266,259,266,219,214,3134
Warszawa Wola,Szybka Kolej Miejska Sp. z o.o.,190,113,90,95,105,74,76,45,53,46,48,64,999
Warszawa Wola ,,584,304,296,307,381,361,420,311,312,312,267,278,4133
Gdynia Leszczynki,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,241,59,75,98,70,117,215,165,101,174,129,153,1597
Gdynia Leszczynki ,,241,59,75,98,70,117,215,165,101,174,129,153,1597
Gdynia Grabówek,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,240,58,69,97,67,115,208,162,105,174,133,153,1581
Gdynia Grabówek ,,240,58,69,97,67,115,208,162,105,174,133,153,1581
Warszawa Rembertów,Koleje Mazowieckie - KM Spółka z o.o.,268,121,144,223,249,347,498,417,351,487,472,210,3787
Warszawa Rembertów,Szybka Kolej Miejska Sp. z o.o.,119,41,63,49,81,152,199,120,75,96,63,67,1125
Warszawa Rembertów ,,387,162,207,272,330,499,697,537,426,583,535,277,4912
Warszawa Toruńska,Koleje Mazowieckie - KM Spółka z o.o.,323,124,111,111,132,204,223,183,184,173,147,145,2060
Warszawa Toruńska,PKP INTERCITY Spółka Akcyjna ,,,,,,,,,,1,,,1
Warszawa Toruńska,Szybka Kolej Miejska Sp. z o.o.,167,90,67,81,84,131,157,113,103,89,98,109,1289
Warszawa Toruńska ,,490,214,178,192,216,335,380,296,287,263,245,254,3350
Koluszki,Łódzka Kolej Aglomeracyjna Sp. z o.o.,74,45,57,68,69,98,142,114,76,99,111,157,1110
Koluszki,PKP INTERCITY Spółka Akcyjna ,348,219,273,209,267,274,364,392,286,239,278,350,3499
Koluszki,POLREGIO Spółka Akcyjna,85,45,55,34,61,68,112,103,68,60,98,104,893
Koluszki ,,507,309,385,311,397,440,618,609,430,398,487,611,5502
Pruszków,Koleje Mazowieckie - KM Spółka z o.o.,227,108,126,133,177,165,239,120,175,173,199,108,1950
Pruszków,PKP INTERCITY Spółka Akcyjna ,,,0,,2,,,1,,,2,0,5
Pruszków,Szybka Kolej Miejska Sp. z o.o.,76,45,35,25,51,79,151,51,46,60,79,62,760
Pruszków ,,303,153,161,158,230,244,390,172,221,233,280,170,2715
Opole Główne,PKP INTERCITY Spółka Akcyjna ,535,269,372,317,384,455,569,521,609,583,646,635,5895
Opole Główne,POLREGIO Spółka Akcyjna,491,168,252,244,264,269,314,299,449,429,532,355,4066
Opole Główne ,,1026,437,624,561,648,724,883,820,1058,1012,1178,990,9961
Reda,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,265,69,79,88,82,130,289,232,126,157,168,206,1891
Reda,POLREGIO Spółka Akcyjna,139,69,62,75,244,470,606,670,359,168,189,239,3290
Reda ,,404,138,141,163,326,600,895,902,485,325,357,445,5181
Piastów,Koleje Mazowieckie - KM Spółka z o.o.,225,103,117,131,172,156,233,116,174,180,195,111,1913
Piastów,Szybka Kolej Miejska Sp. z o.o.,80,43,34,28,54,83,156,51,51,62,79,64,785
Piastów ,,305,146,151,159,226,239,389,167,225,242,274,175,2698
Warszawa Ursus Niedźwiadek,Koleje Mazowieckie - KM Spółka z o.o.,231,103,114,132,176,158,239,120,172,184,198,113,1940
Warszawa Ursus Niedźwiadek,PKP INTERCITY Spółka Akcyjna ,,,,,,,1,,,,,,1
Warszawa Ursus Niedźwiadek,Szybka Kolej Miejska Sp. z o.o.,79,44,34,30,55,84,159,55,48,65,82,65,800
Warszawa Ursus Niedźwiadek ,,310,147,148,162,231,242,399,175,220,249,280,178,2741
Warszawa Ursus,Koleje Mazowieckie - KM Spółka z o.o.,227,101,113,137,174,162,241,128,172,187,200,109,1951
Warszawa Ursus,Szybka Kolej Miejska Sp. z o.o.,77,44,35,28,57,86,159,63,53,74,87,65,828
Warszawa Ursus ,,304,145,148,165,231,248,400,191,225,261,287,174,2779
Wołomin,Koleje Mazowieckie - KM Spółka z o.o.,130,55,85,67,85,120,131,90,135,123,101,62,1184
Wołomin,PKP INTERCITY Spółka Akcyjna ,142,62,80,52,81,108,148,115,102,90,86,94,1160
Wołomin ,,272,117,165,119,166,228,279,205,237,213,187,156,2344
Warszawa Płudy,Koleje Mazowieckie - KM Spółka z o.o.,288,111,109,107,121,192,202,166,149,136,112,145,1838
Warszawa Płudy,Szybka Kolej Miejska Sp. z o.o.,177,91,66,78,78,132,153,108,102,90,95,114,1284
Warszawa Płudy ,,465,202,175,185,199,324,355,274,251,226,207,259,3122
Wrocław Mikołajów,CARGO Master Spółka z o.o.,,,0,,,,,,,,,,0
Wrocław Mikołajów,Koleje Dolnośląskie S.A.,278,105,121,121,126,115,227,221,252,169,397,325,2457
Wrocław Mikołajów,PKP INTERCITY Spółka Akcyjna ,152,81,95,82,93,135,167,159,153,114,125,173,1529
Wrocław Mikołajów,POLREGIO Spółka Akcyjna,243,171,154,152,147,128,176,133,213,176,184,219,2096
Wrocław Mikołajów ,,673,357,370,355,366,378,570,513,618,459,706,717,6082
Kraków Płaszów,Koleje Małopolskie Sp. z o.o.,162,43,70,62,63,49,64,51,44,73,39,48,768
Kraków Płaszów,Koleje Śląskie Spółka z o.o.,,,,,,,,,,,,17,17
Kraków Płaszów,PKP INTERCITY Spółka Akcyjna ,329,194,212,191,181,197,288,292,240,260,241,273,2898
Kraków Płaszów,POLREGIO Spółka Akcyjna,160,94,79,79,86,66,69,83,86,123,93,81,1099
Kraków Płaszów,RegioJet a.s.,,,,,,,,,1,,,,1
Kraków Płaszów ,,651,331,361,332,330,312,421,426,371,456,373,419,4783
Otwock,Koleje Mazowieckie - KM Spółka z o.o.,170,115,129,117,132,187,225,134,135,136,153,122,1755
Otwock,PKP INTERCITY Spółka Akcyjna ,155,85,102,112,121,139,165,199,137,109,92,157,1573
Otwock,Szybka Kolej Miejska Sp. z o.o.,92,46,26,32,60,75,124,40,47,49,76,74,741
Otwock ,,417,246,257,261,313,401,514,373,319,294,321,353,4069
