station,lat,lon
Brachlewo,53.804379,18.9663935
Braniewo,54.3825966,19.827344
Bratków,51.4430468,20.1246031
Bratoszewice,51.9294881,19.6522861
Brochocin Trzebnicki,51.2760267,17.0941302
Brodnica,53.258092,19.3993626
Brody Iłżeckie,51.0215143,21.2002986
Brody Warszawskie,52.5138031,20.7480378
Brokęcino,53.5603534,16.814271
Broniszew Stary,50.9836582,19.1607855
Bronów,49.8775422,18.9213059
Brusy,53.8861557,17.7190437
Brwinów,52.1425551,20.7170701
Brzask,51.0972299,20.8032124
Brzeg,50.8614882,17.470497
Brzeg Dolny,51.2691744,16.7083805
Brzeg Głogowski,51.6968711,15.9154406
Brzesko Okocim,49.9867628,20.6093415
Brzeszcze,49.9819014,19.1528065
Brzeszcze Jawiszowice,49.9720643,19.1284858
Brzezie,50.9359159,21.0533424
Brzezinka Średzka,51.2152266,16.8228416
Brzeziny,51.8004949,19.7517694
Brzeźnica,50.3499995,19.0522414
Brzeźnica Bychawska,51.5277894,22.7508153
Brzeźno Człuchowskie,53.6709018,17.4822016
Brzoza Bydgoska,53.027281,18.0205697
Brzoza Toruńska,52.9614392,18.6852668
Brzozowica,53.7288889,15.9955556
Brzozowiec Gorzowski,52.6532974,15.3673881
Brzustów,51.6,19.8166667
Buchałów,51.9114816,15.3649002
Budachów,52.15218,15.09045
Budki Nowe,52.2444479,18.5634491
Budy Głogowskie,50.1469072,21.9114974
Budziszowice,50.5193589,17.5434969
Budzyń,52.8909489,16.9835951
Bujaki,53.4594806,20.3692438
Buk,52.357408,16.5166799
Bukowa,51.3155,19.4576
Bukowice Trzebnickie,51.3995076,17.368541
Bukowiec Międzyrzecki,52.3852613,15.7064092
Bukowina Sycowska,51.3799688,17.5858963
Bukowno,50.2609998,19.4361777
Bukowno Przymiarki,50.2753797,19.4097682
Bukowo,54.19744,20.75296
Bukowo Człuchowskie,53.5734806,17.372239
Bukwałd,53.8776789,20.3577319
Bulowice,49.8773139,19.2805376
Burkat,53.27347,20.14558
Burkatów,50.7950157,16.4665533
Bursztynowo,53.6244444,18.475
Busko-Zdrój,50.46759,20.71919
Byczyna Kluczborska,51.1137155,18.1998832
