station,month,t2m_c,precip_mm,snowfall_mm,wind_ms,freezing,heavy_rain,windy
Adamowo,1,-0.902923583984375,1.2804127931594849,0.4950920045375824,2.347859324702578,1,0,0
Adamowo,2,5.162872314453125,1.8088412284851074,0.06808340549468994,2.1063702413532726,0,0,0
Adamowo,3,5.891021728515625,1.5150264501571655,0.04986859858036041,1.53741242740247,0,0,0
Adamowo,4,10.323150634765625,1.7388546466827393,0.013651326298713684,1.4322725546698132,0,0,0
Adamowo,5,16.632232666015625,1.0725313425064087,0.0,1.695009705850123,0,0,0
Adamowo,6,18.753692626953125,2.430506706237793,0.0,0.8044473998633259,0,0,0
Adamowo,7,20.754302978515625,2.49857497215271,0.0,1.1462298886925124,0,0,0
Adamowo,8,20.908599853515625,0.9247472286224365,0.0,0.5958559517098276,0,0,0
Adamowo,9,18.196441650390625,0.9556729197502136,0.0,1.461174074393919,0,0,0
Adamowo,10,10.116241455078125,1.2300007343292236,0.0,1.0214262534649339,0,0,0
Adamowo,11,3.830474853515625,1.1569615602493286,0.1772511750459671,2.1809551057889056,0,0,0
Adamowo,12,2.652740478515625,1.6395370960235596,0.06682612001895905,2.034195237223671,0,0,0
Aleksandrów,1,-0.424407958984375,1.3250864744186401,0.3320938050746918,2.465061194256367,1,0,0
Aleksandrów,2,5.801544189453125,1.3582450151443481,0.08027255535125732,2.1575264811711854,0,0,0
Aleksandrów,3,6.412506103515625,1.3917491436004639,0.041814520955085754,1.2198497953977687,0,0,0
Aleksandrów,4,10.809478759765625,1.998842716217041,0.025251880288124084,1.5594251113793864,0,0,0
Aleksandrów,5,16.593170166015625,0.9267681837081909,0.0,1.5758711118876823,0,0,0
Aleksandrów,6,19.124786376953125,3.0269556045532227,0.0,0.62918781416284,0,0,0
Aleksandrów,7,21.170318603515625,2.891362190246582,0.0,1.0244553878041651,0,0,0
Aleksandrów,8,20.744537353515625,1.944403886795044,0.0,0.5417449787690977,0,0,0
Aleksandrów,9,17.803863525390625,2.1574292182922363,0.0,1.2041308600781206,0,0,0
Aleksandrów,10,10.370147705078125,1.1456080675125122,0.0,1.018892663257507,0,0,0
Aleksandrów,11,3.639068603515625,1.1781361103057861,0.20920857787132263,1.890334015152904,0,0,0
Aleksandrów,12,2.324615478515625,1.084818959236145,0.1318231225013733,1.9259148130103447,0,0,0
Aleksandrów Kujawski,1,0.022857666015625,1.3156503438949585,0.2550724744796753,2.2663237592206533,0,0,0
Aleksandrów Kujawski,2,5.614044189453125,1.7653484344482422,0.06281398236751556,2.0189859147988614,0,0,0
Aleksandrów Kujawski,3,6.588287353515625,1.3654038906097412,0.006994232535362244,1.3400183074322778,0,0,0
Aleksandrów Kujawski,4,10.696197509765625,1.5085124969482422,0.0004153698682785034,1.3187853926825381,0,0,0
Aleksandrów Kujawski,5,16.749420166015625,1.7839723825454712,0.0,1.6604686177132173,0,0,0
Aleksandrów Kujawski,6,18.554473876953125,3.7852160930633545,0.0,0.6793305759382078,0,0,0
Aleksandrów Kujawski,7,20.514068603515625,2.8072152137756348,0.0,0.9805159376407967,0,0,0
Aleksandrów Kujawski,8,20.672271728515625,1.28729248046875,0.0,0.34090955078445806,0,0,0
Aleksandrów Kujawski,9,17.778472900390625,1.978548288345337,0.0,1.0895942635118783,0,0,0
Aleksandrów Kujawski,10,10.586944580078125,1.1033557653427124,0.0,1.011521252484038,0,0,0
Aleksandrów Kujawski,11,4.240631103515625,1.1210497617721558,0.12484751641750336,2.0180360468122926,0,0,0
Aleksandrów Kujawski,12,3.287506103515625,1.6179155111312866,0.02969801425933838,1.9918090991933888,0,0,0
Andrychów,1,-1.344329833984375,1.9786736965179443,0.704986035823822,2.3256204279846378,1,0,0
Andrychów,2,6.121856689453125,1.6566035747528076,0.08004717528820038,2.2616900342661266,0,0,0
Andrychów,3,7.000396728515625,1.8463164567947388,0.06428174674510956,0.922120405885398,0,0,0
Andrychów,4,10.651275634765625,2.9541635513305664,0.10254792869091034,1.408655899714953,0,0,0
Andrychów,5,15.270904541015625,1.9092166423797607,0.0,1.163250809435779,0,0,0
Andrychów,6,18.482208251953125,3.7974350452423096,0.0,0.5384772379221371,0,0,0
Andrychów,7,20.754302978515625,2.9796292781829834,0.0,0.41259557608894426,0,0,0
Andrychów,8,20.584381103515625,2.952638864517212,0.0,0.09149705638722488,0,0,0
Andrychów,9,16.434722900390625,5.25087308883667,0.0,1.0798327774619674,0,0,0
Andrychów,10,9.977569580078125,1.622475028038025,0.0,0.781553410387894,0,0,0
Andrychów,11,3.246490478515625,1.5940051078796387,0.33128076791763306,1.6567994654620455,0,0,0
Andrychów,12,1.394927978515625,1.302130103111267,0.5270875692367554,1.2468304818588294,0,0,0
Andrychów Górnica,1,-1.344329833984375,1.9786736965179443,0.704986035823822,2.3256204279846378,1,0,0
Andrychów Górnica,2,6.121856689453125,1.6566035747528076,0.08004717528820038,2.2616900342661266,0,0,0
Andrychów Górnica,3,7.000396728515625,1.8463164567947388,0.06428174674510956,0.922120405885398,0,0,0
Andrychów Górnica,4,10.651275634765625,2.9541635513305664,0.10254792869091034,1.408655899714953,0,0,0
Andrychów Górnica,5,15.270904541015625,1.9092166423797607,0.0,1.163250809435779,0,0,0
Andrychów Górnica,6,18.482208251953125,3.7974350452423096,0.0,0.5384772379221371,0,0,0
Andrychów Górnica,7,20.754302978515625,2.9796292781829834,0.0,0.41259557608894426,0,0,0
Andrychów Górnica,8,20.584381103515625,2.952638864517212,0.0,0.09149705638722488,0,0,0
Andrychów Górnica,9,16.434722900390625,5.25087308883667,0.0,1.0798327774619674,0,0,0
Andrychów Górnica,10,9.977569580078125,1.622475028038025,0.0,0.781553410387894,0,0,0
Andrychów Górnica,11,3.246490478515625,1.5940051078796387,0.33128076791763306,1.6567994654620455,0,0,0
Andrychów Górnica,12,1.394927978515625,1.302130103111267,0.5270875692367554,1.2468304818588294,0,0,0
Andrzejówka,1,-1.768157958984375,1.7778507471084595,0.735019326210022,2.0809598787102117,1,0,0
Andrzejówka,2,5.731231689453125,1.3817590475082397,0.11869706213474274,1.8035114114076232,0,0,0
Andrzejówka,3,6.312896728515625,1.5401051044464111,0.04328601062297821,1.105788239284936,0,0,0
Andrzejówka,4,11.327056884765625,1.8230760097503662,0.0,1.28161868383987,0,0,0
Andrzejówka,5,16.645904541015625,0.9244883060455322,0.0,1.7262826680773478,0,0,0
Andrzejówka,6,19.802520751953125,3.6900198459625244,0.0,0.4740678265033278,0,0,0
Andrzejówka,7,22.082427978515625,3.3309390544891357,0.0,0.6881707546356517,0,0,0
Andrzejówka,8,21.449615478515625,2.0587778091430664,0.0,0.47375745371177275,0,0,0
Andrzejówka,9,17.958160400390625,2.447629451751709,0.0,1.5140343291372111,0,0,0
Andrzejówka,10,9.911163330078125,1.4268450736999512,0.0,0.7488907661762215,0,0,0
Andrzejówka,11,3.142974853515625,1.1023114919662476,0.23271888494491577,1.5377392351866714,0,0,0
Andrzejówka,12,1.398834228515625,1.2520473003387451,0.37336909770965576,1.2242698484592056,0,0,0
Anieliny,1,0.229888916015625,1.195021629333496,0.2344706952571869,2.404784379995629,0,0,0
Anieliny,2,5.477325439453125,1.8590134382247925,0.07900036871433258,2.0652514095449397,0,0,0
Anieliny,3,6.658599853515625,1.119519829750061,0.0016801059246063232,1.2182040969261931,0,0,0
Anieliny,4,10.455963134765625,1.4924341440200806,0.0005140900611877441,1.3023678655270101,0,0,0
Anieliny,5,16.378326416015625,2.078523635864258,0.0,1.8811955632174384,0,0,0
Anieliny,6,18.286895751953125,2.3003077507019043,0.0,0.7296092285971696,0,0,0
Anieliny,7,19.994537353515625,3.845371723175049,0.0,1.1137614577613146,0,0,0
Anieliny,8,20.182037353515625,1.1466702222824097,0.0,0.2642112171210946,0,0,0
Anieliny,9,17.337066650390625,2.2979843616485596,0.0,1.0538423831238388,0,0,0
Anieliny,10,10.690460205078125,1.0811232328414917,0.0,1.0004101276394965,0,0,0
Anieliny,11,4.437896728515625,1.0992791652679443,0.17052702605724335,2.1007523628886475,0,0,0
Anieliny,12,3.371490478515625,1.1232043504714966,0.04712305963039398,2.1632322783231372,0,0,0
Antonin,1,0.175201416015625,1.135636806488037,0.2286825329065323,2.4421446647214435,0,0,0
Antonin,2,6.373809814453125,1.8099365234375,0.030174851417541504,2.367031847768882,0,0,0
Antonin,3,7.680084228515625,0.9815276265144348,0.0020544975996017456,1.2922716240485423,0,0,0
Antonin,4,11.282135009765625,1.5291879177093506,0.0004470348358154297,1.7199274389463088,0,0,0
Antonin,5,17.214263916015625,1.9356662034988403,0.0,1.5410681557088883,0,0,0
Antonin,6,19.411895751953125,3.0564522743225098,0.0,0.6789045264140201,0,0,0
Antonin,7,21.039459228515625,3.4767467975616455,0.0,0.8712686498277696,0,0,0
Antonin,8,20.994537353515625,3.0070950984954834,0.0,0.20825566848808205,0,0,0
Antonin,9,17.458160400390625,3.425488233566284,0.0,1.0904094124738728,0,0,0
Antonin,10,11.170928955078125,1.086174726486206,0.0,1.172512120863325,0,0,0
Antonin,11,4.139068603515625,1.4074276685714722,0.11657550930976868,1.8411905984626706,0,0,0
Antonin,12,2.457427978515625,1.1006886959075928,0.12357719242572784,1.988005314785273,0,0,0
Antoniów,1,-0.830657958984375,1.4955631494522095,0.3789374530315399,2.743228620167979,1,0,0
Antoniów,2,5.963653564453125,1.4070463180541992,0.11043250560760498,2.387716018932206,0,0,0
