station,delay_mean,delay_p90,traffic,lat,lon,t2m_mean,precip_mean,wind_mean,freezing_rate,heavy_rain_rate,windy_rate
Adamowo,0.028040339189884328,0.0444444444444444,878.3333333333334,52.9137673,20.1780342,11.026570638020834,1.520972306529681,1.530267347092946,0.08333333333333333,0.0,0.0
Aleksandrów,0.036365369946605636,0.1,28.916666666666668,51.8190659,20.5122926,11.197469075520834,1.7024504641691844,1.4343661855272807,0.08333333333333333,0.0,0.0
Aleksandrów Kujawski,0.11184721500567359,0.2229568256362584,818.7916666666666,52.8764647,18.694071,11.275431315104166,1.7866233885288239,1.393024893184384,0.0,0.0,0.0
Andrychów,0.14383409974896974,0.35461604831751503,321.5,49.8555791,19.3436756,10.714558919270834,2.4870133697986603,1.1574102985713282,0.08333333333333333,0.0,0.0
Andrychów Górnica,0.168423708618318,0.2564655172413793,456.5,49.858467,19.323956,10.714558919270834,2.4870133697986603,1.1574102985713282,0.08333333333333333,0.0,0.0
Andrzejówka,0.053208529080724896,0.0942928039702233,396.5,50.593736,22.6076786,11.166219075520834,1.896320770184199,1.221590924594171,0.08333333333333333,0.0,0.0
Anieliny,0.08890792861905261,0.1219512195121951,617.5833333333334,53.12928,17.48715,11.125040690104166,1.7198711236317952,1.4414685308888258,0.0,0.0,0.0
Antonin,0.051231543117852135,0.08759808867800226,313.6111111111111,51.5167816,17.8526187,11.616414388020834,1.996002381046613,1.4344158352090899,0.0,0.0,0.0
Antoniów,0.029077472293442357,0.0625,295.1111111111111,51.2135391,20.1727167,11.1473388671875,1.7961104412873585,1.5316791503416474,0.08333333333333333,0.0,0.0
Antoniówka,0.0482171910703732,0.0695067264573991,884.1666666666666,51.4112313,20.1634414,11.1844482421875,1.705470710992813,1.5584755002913646,0.08333333333333333,0.0,0.0
Arcelin,0.06316492159723586,0.1561338289962825,245.33333333333334,52.6547147,20.3153459,11.241902669270834,1.4690768619378407,1.496702470354388,0.08333333333333333,0.0,0.0
Augustów,0.11388102095798376,0.18951612903225806,233.61111111111111,53.8437331,22.9802357,10.316446940104166,1.4535988867282867,1.4022942021941884,0.08333333333333333,0.0,0.0
Augustów Port,0.0857185282594966,0.1478260869565217,228.83333333333334,53.8624093,23.0039831,10.2191162109375,1.4624005059401195,1.4237939475649661,0.08333333333333333,0.0,0.0
Augustówka,0.08856112297627063,0.1150705270972531,1389.0833333333333,51.661997,22.8119065,11.328165690104166,1.565233737230301,1.3214533765189878,0.08333333333333333,0.0,0.0
Babi Dół,0.051943087178680396,0.076103500761035,627.0,54.2986,18.31126,9.7401123046875,2.067179332176844,1.8165877606186942,0.08333333333333333,0.0,0.0
Babiak,0.3750979128803305,0.5645161290322581,61.0,52.344523,18.6667068,11.4783935546875,1.7298986911773682,1.5213096938891668,0.0,0.0,0.0
Babica,0.07061987646531143,0.0984020185029436,1178.8333333333333,49.9074367,19.5466215,10.6673583984375,2.4041964014371238,1.1022255246350638,0.08333333333333333,0.0,0.0
Babica Kolonia,0.07866102685232412,0.1177460050462573,1178.8333333333333,49.9338031,21.8699571,10.973185221354166,1.9407585163911183,1.322810169773149,0.08333333333333333,0.0,0.0
Babimost,0.19341609724302555,0.244952929155561,686.1111111111111,52.165312,15.8285175,11.922078450520834,1.5639149596293767,1.3213012656900396,0.0,0.0,0.0
Baborówko,0.0674905700277726,0.12849239520646533,865.3888888888889,52.5852574,16.62992,11.666544596354166,1.5747040361166,1.3481898997280108,0.0,0.0,0.0
Baboszewo,0.06341074263951707,0.1561338289962825,245.33333333333334,52.6813829,20.2582764,11.241902669270834,1.4690768619378407,1.496702470354388,0.08333333333333333,0.0,0.0
Baby,0.06498899961941783,0.1054156835894058,663.8333333333334,52.8164681,20.6007658,11.1966552734375,1.4097233513991039,1.47810860289441,0.08333333333333333,0.0,0.0
Baciuty,0.05697976910748689,0.1158238172920065,642.8333333333334,53.0473602,22.9834886,10.742879231770834,1.5584502816200256,1.3216702727456273,0.08333333333333333,0.0,0.0
Bajtkowo,0.10570690138147742,0.1505376344086021,182.41666666666666,53.7405392,22.2536451,10.4569091796875,1.5369587639967601,1.3816510639265325,0.08333333333333333,0.0,0.0
Balin,0.07923799785969234,0.16993120777722848,561.8888888888889,51.9377824,18.8192247,11.685587565104166,1.756500353415807,1.5081977449979806,0.0,0.0,0.0
Balinka,0.09101527827864314,0.1478260869565217,228.83333333333334,49.7751541,19.8496255,10.063517252604166,2.534854461749395,1.0119349762781469,0.08333333333333333,0.0,0.0
Baranówka,0.1177035379640965,0.20364779066157018,834.2777777777778,51.9279203,21.3051742,11.652872721354166,1.541329155365626,1.2308314939117488,0.08333333333333333,0.0,0.0
Barchów,0.031606257034562865,0.0452147701582517,1346.75,52.5167163,21.6534434,11.366251627604166,1.4578453948100407,1.3428918876788505,0.08333333333333333,0.0,0.0
Barcice,0.062448924646465315,0.0930521091811414,802.25,49.5250962,20.6514646,9.357462565104166,2.218452254931132,0.810725499713938,0.16666666666666666,0.0,0.0
Barczewo,0.047324767672615356,0.09208801498127335,241.22222222222223,53.8297112,20.6911497,10.4056396484375,1.7556215127309163,1.4929649153998878,0.08333333333333333,0.0,0.0
